"1764","56"
"1765","52"
"1766","68"
"1767","69"
"1768","50"
"1769","51"
"1770","96"
"1771","62"
"1772","62"
"1773","58"
"1774","62"
"1775","78"
"1776","91"
"1777","78"
"1778","80"
"1779","50"
"1780","60"
"1781","68"
"1782","62"
"1783","70"
"1784","87"
"1785","76"
"1786","72"
"1787","79"
"1788","125"
"1789","93"
"1790","161"
"1791","85"
"1792","117"
"1793","129"
"1794","118"
"1795","111"
"1796","124"
"1797","132"
"1798","149"
"1799","95"
"1800","1147"
"1801","181"
"1802","247"
"1803","250"
"1804","234"
"1805","247"
"1806","293"
"1807","305"
"1808","325"
"1809","312"
"1810","413"
"1811","347"
"1812","445"
"1813","332"
"1814","331"
"1815","394"
"1816","486"
"1817","304"
"1818","468"
"1819","468"
"1820","522"
"1821","423"
"1822","476"
"1823","502"
"1824","433"
"1825","542"
"1826","461"
"1827","549"
"1828","610"
"1829","569"
"1830","890"
"1831","587"
"1832","657"
"1833","747"
"1834","721"
"1835","828"
"1836","792"
"1837","718"
"1838","822"
"1839","902"
"1840","998"
"1841","913"
"1842","822"
"1843","796"
"1844","1009"
"1845","1030"
"1846","1058"
"1847","1111"
"1848","1278"
"1849","1051"
"1850","1639"
"1851","1359"
"1852","1459"
"1853","1430"
"1854","1457"
"1855","1289"
"1856","1919"
"1857","1484"
"1858","1404"
"1859","1520"
"1860","2060"
"1861","2249"
"1862","2211"
"1863","2531"
"1864","2869"
"1865","3148"
"1866","2017"
"1867","1761"
"1868","1897"
"1869","1697"
"1870","1945"
"1871","1699"
"1872","2036"
"1873","1884"
"1874","2168"
"1875","1944"
"1876","2552"
"1877","2018"
"1878","2007"
"1879","2211"
"1880","2952"
"1881","2572"
"1882","2700"
"1883","2981"
"1884","3000"
"1885","2920"
"1886","3069"
"1887","3257"
"1888","3397"
"1889","3476"
"1890","4030"
"1891","3634"
"1892","4010"
"1893","3880"
"1894","3608"
"1895","4093"
"1896","4079"
"1897","4175"
"1898","4702"
"1899","4905"
"1900","7129"
"1901","5524"
"1902","5829"
"1903","6000"
"1904","6067"
"1905","5889"
"1906","5700"
"1907","6218"
"1908","6469"
"1909","6863"
"1910","7336"
"1911","7183"
"1912","7567"
"1913","7483"
"1914","7376"
"1915","7160"
"1916","7318"
"1917","7255"
"1918","6832"
"1919","7092"
"1920","7566"
"1921","6768"
"1922","7714"
"1923","119"
"1924","64"
"1925","42"
"1926","65"
"1927","63"
"1928","52"
"1929","42"
"1930","93"
"1931","55"
"1932","49"
"1933","23"
"1934","25"
"1935","32"
"1936","22"
"1937","58"
"1938","30"
"1939","79"
"1940","20"
"1941","60"
"1942","31"
"1943","11"
"1944","37"
"1945","12"
"1946","13"
"1947","15"
"1948","19"
"1949","196"
"1950","20"
"1951","26"
"1952","18"
"1953","16"
"1954","33"
"1955","25"
"1956","19"
"1957","17"
"1958","31"
"1959","21"
"1960","22"
"1961","20"
"1962","44"
"1963","113"
"1964","8"
"1965","10"
"1966","12"
"1967","9"
"1968","30"
"1969","410"
"1970","14"
"1971","28"
"1972","5"
"1973","13"
"1974","9"
"1975","16"
"1976","10"
"1977","10"
"1978","15"
"1979","24"
"1980","18"
"1981","20"
"1982","24"
"1983","11"
"1984","5"
"1985","19"
"1986","9"
"1987","5"
"1988","6"
"1989","10"
"1990","4"
"1991","5"
"1992","8"
"1993","2"
"1994","2"
"1995","2"
"1996","3"
"1997","2"
"1998","4"
"1999","3"
"2000","149"
"2001","3"
"2002","3"
"2006","2"
"2010","3"
"2100","144"
"2200","93"
"2300","48"
"2400","85"
"2460","1"
"2500","26"
"2501","1"
"2600","49"
"2700","67"
"2770","1"
"2800","10"
"2900","63"
"3000","67"
"3100","52"
"3200","16"
"3300","71"
"3400","70"
"3500","37"
"3600","40"
"3700","79"
"3800","66"
"3900","44"
"4000","51"
"4100","87"
"4200","24"
"4300","38"
"4400","70"
"4500","66"
"4600","65"
